clientID;streetAndNumber;city;country
1095;Sletteheia 10; ;Norway
1093;Rådyrsvingen 4a; ;Norway
1090;Frognerhagen s¸r 43;Skien;Norway
1089;Seljeveien 11;Oslo;Norway
1088;Viktor Baumannsvei 10 b; ;Norway
1087;Kj¸rkevegen 127;Lunner;Norway
1084;Pe-Vegen 31;Brandal;Norway
1083;Iger¸y veien 133; ;Norway
1082;Orkn¸ygata 2B; ;Norway
1081;Liveien 6; ;Norway
1079;Skogveien 10a; ;Norway
888
